variable,count,mean,std,min,25%,50%,75%,max,original
dummy1,1000.0,0.00019747265703670886,0.011426833692165241,-0.0318193638922922,-0.0077797104562267756,0.0004551830936376,0.008073883047610576,0.0347899647728725,0.0050110386413197
dummy2,1000.0,0.00011550130254326807,0.011641142362523314,-0.034944864215033,-0.007881120372526326,0.00034951850949475004,0.0077089425641359505,0.0369752339598393,-0.008238017608967
x1,1000.0,0.048236181374045714,3.1501723364342626,-9.265828715045936,-2.1705823419318016,0.0072380816814033005,2.023309362102221,28.203599562165152,28.203599562165152
x2,1000.0,0.3010330581359955,8.111395062749086,-25.849590263108,-5.098849085716536,0.18865679713534966,5.257672114575819,75.05145249237391,75.05145249237391
x3,1000.0,0.03734436239310735,1.8919176348924138,-6.440192184699892,-1.1937569790842715,0.01176822467941595,1.269165298703452,17.7536093004833,17.7536093004833
